index	question	sentence	label
40	COc1ccccc1C(=O)CC1(O)c2ccccc2-n2c1nc1ccccc1c2=O	COc1ccccc1C(=O)OCC1(O)c2ccccc2-n2c1nc1ccccc1c2=O	not_entailment
41	COc1ccccc1C(=O)CC1(O)c2ccccc2-n2c1nc1ccccc1c2=O	COc1ccccc1OC(=O)CC1(O)c2ccccc2-n2c1nc1ccccc1c2=O	entailment
42	CCCCC[C@@H]1[C@@H](C)C(=O)C[C@@H]2C[C@@]21[N+](=O)[O-]	CCCCC[C@@H]1[C@@H](C)C(=O)OC[C@@H]2C[C@@]21[N+](=O)[O-]	not_entailment
43	CCCCC[C@@H]1[C@@H](C)C(=O)C[C@@H]2C[C@@]21[N+](=O)[O-]	CCCCC[C@@H]1[C@@H](C)OC(=O)C[C@@H]2C[C@@]21[N+](=O)[O-]	entailment
44	CC(=O)CCC[C@H](C)CCC[C@H](C)CCCC(C)C	CC(=O)OCCC[C@H](C)CCC[C@H](C)CCCC(C)C	entailment
45	CC(=O)CCC[C@H](C)CCC[C@H](C)CCCC(C)C	COC(=O)CCC[C@H](C)CCC[C@H](C)CCCC(C)C	not_entailment
46	CC12CC[C@@H]3C(C)(C)CCC[C@@]3(C)C1CCC2=O	CC12CC[C@@H]3C(C)(C)CCC[C@@]3(C)C1CCOC2=O	not_entailment
47	CC12CC[C@@H]3C(C)(C)CCC[C@@]3(C)C1CCC2=O	CC12CC[C@@H]3C(C)(C)CCC[C@@]3(C)C1CCC(=O)O2	entailment
48	Cc1ccc(S(=O)(=O)N(C)[C@@H]2C(=O)[C@@H]3CCCC[C@H]23)cc1	Cc1ccc(S(=O)(=O)N(C)[C@@H]2C(=O)O[C@@H]3CCCC[C@H]23)cc1	not_entailment
49	Cc1ccc(S(=O)(=O)N(C)[C@@H]2C(=O)[C@@H]3CCCC[C@H]23)cc1	Cc1ccc(S(=O)(=O)N(C)[C@@H]2OC(=O)[C@@H]3CCCC[C@@H]32)cc1	entailment
50	CC1(C)[C@H]2CC(=O)C[C@H]21	CC1(C)[C@H]2CC(=O)OC[C@H]21	not_entailment
51	CC1(C)[C@H]2CC(=O)C[C@H]21	CC1(C)[C@H]2COC(=O)C[C@H]21	entailment
52	COC(=O)C(C)Oc1ccc(C(C)=O)cc1	COC(=O)c1ccc(OC(C)C(=O)OC)cc1	not_entailment
53	COC(=O)C(C)Oc1ccc(C(C)=O)cc1	COC(=O)C(C)Oc1ccc(OC(C)=O)cc1	entailment
54	COCC[C@H]1CCCCC1=O	COCC[C@H]1CCCCOC1=O	not_entailment
55	COCC[C@H]1CCCCC1=O	COCC[C@H]1CCCCC(=O)O1	entailment
56	C[C@H]1CCCC(=O)C1	C[C@H]1CCCC(=O)OC1	not_entailment
57	C[C@H]1CCCC(=O)C1	C[C@H]1CCCOC(=O)C1	entailment
58	O=C1CCCCC1c1cccc2ccccc12	O=C1CCCCC(c2cccc3ccccc23)O1	not_entailment
59	O=C1CCCCC1c1cccc2ccccc12	O=C1OCCCCC1c1cccc2ccccc12	entailment
60	CC(=O)c1cc2c(cc1C(C)C)CC[C@H]1C(C)(C)CCC[C@]21C	CC(=O)Oc1cc2c(cc1C(C)C)CC[C@H]1C(C)(C)CCC[C@]21C	entailment
61	CC(=O)c1cc2c(cc1C(C)C)CC[C@H]1C(C)(C)CCC[C@]21C	COC(=O)c1cc2c(cc1C(C)C)CC[C@H]1C(C)(C)CCC[C@]21C	not_entailment
62	CC1CCCCCC1=O	CC1CCCCCOC1=O	not_entailment
63	CC1CCCCCC1=O	CC1CCCCCC(=O)O1	entailment
64	C[C@@H]1CC(=O)[C@@H]1CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C	C[C@@H]1CC(=O)O[C@@H]1CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C	entailment
65	C[C@@H]1CC(=O)[C@@H]1CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C	C[C@@H]1COC(=O)[C@@H]1CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C	not_entailment
66	CCCCCC(C)=O	CCCCCC(=O)OC	not_entailment
67	CCCCCC(C)=O	CCCCCOC(C)=O	entailment
68	COc1ccc([C@H]2Oc3ccccc3[C@H]2C(=O)c2ccccc2)cc1	COc1ccc([C@H]2Oc3ccccc3[C@H]2C(=O)Oc2ccccc2)cc1	not_entailment
69	COc1ccc([C@H]2Oc3ccccc3[C@H]2C(=O)c2ccccc2)cc1	COc1ccc([C@H]2Oc3ccccc3[C@H]2OC(=O)c2ccccc2)cc1	entailment
70	C#C[C@]12O[C@@H]3C(=O)[C@@H](CO[Si](C)(C)C(C)(C)C)[C@](C)(C[C@H]4O[C@]41C)[C@H]2[C@@H]3OCOC	C#C[C@]12O[C@@H]3C(=O)O[C@@H](CO[Si](C)(C)C(C)(C)C)[C@](C)(C[C@H]4O[C@]41C)[C@H]2[C@@H]3OCOC	not_entailment
71	C#C[C@]12O[C@@H]3C(=O)[C@@H](CO[Si](C)(C)C(C)(C)C)[C@](C)(C[C@H]4O[C@]41C)[C@H]2[C@@H]3OCOC	C#C[C@]12O[C@@H]3OC(=O)[C@@H](CO[Si](C)(C)C(C)(C)C)[C@](C)(C[C@H]4O[C@]41C)[C@H]2[C@@H]3OCOC	entailment
72	CO[C@@]12CC(=O)C[C@@](C)(O1)[C@H]1OC(C)(C)O[C@H]12	CO[C@@]12CC(=O)OC[C@@](C)(O1)[C@H]1OC(C)(C)O[C@H]12	entailment
73	CO[C@@]12CC(=O)C[C@@](C)(O1)[C@H]1OC(C)(C)O[C@H]12	CO[C@@]12COC(=O)C[C@@](C)(O1)[C@H]1OC(C)(C)O[C@H]12	not_entailment
74	COc1ccc(C2CCCC2=O)cc1OC	COc1ccc(C2CCCOC2=O)cc1OC	not_entailment
75	COc1ccc(C2CCCC2=O)cc1OC	COc1ccc(C2CCCC(=O)O2)cc1OC	entailment
76	CC1CCc2ccccc2C1=O	CC1CCc2ccccc2OC1=O	entailment
77	CC1CCc2ccccc2C1=O	CC1CCc2ccccc2C(=O)O1	not_entailment
78	CC1(C)OC[C@H]([C@@H]2CCC2=O)O1	CC1(C)OC[C@H]([C@@H]2CCOC2=O)O1	not_entailment
79	CC1(C)OC[C@H]([C@@H]2CCC2=O)O1	CC1(C)OC[C@H]([C@@H]2CCC(=O)O2)O1	entailment
80	O=C1[C@H]2C[C@H]2C[C@H]2CC[C@@H]12	O=C1O[C@@H]2CC[C@@H]2C[C@@H]2C[C@H]12	entailment
81	O=C1[C@H]2C[C@H]2C[C@H]2CC[C@@H]12	O=C1O[C@H]2C[C@H]2C[C@H]2CC[C@@H]12	not_entailment
82	CO[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)C(O)C[C@]4(C)[C@H]3CC[C@]12C	CO[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)OC(O)C[C@]4(C)[C@H]3CC[C@]12C	entailment
83	CO[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)C(O)C[C@]4(C)[C@H]3CC[C@]12C	CO[C@H]1CC[C@H]2[C@@H]3CCC4=COC(=O)C(O)C[C@]4(C)[C@H]3CC[C@]12C	not_entailment
84	O=C1[C@H]2O[C@H](C[C@H]2OCc2ccccc2)[C@H]1O	O=C1O[C@H](O)[C@H]2C[C@@H](OCc3ccccc3)[C@@H]1O2	not_entailment
85	O=C1[C@H]2O[C@H](C[C@H]2OCc2ccccc2)[C@H]1O	O=C1O[C@H]2O[C@H](C[C@H]2OCc2ccccc2)[C@H]1O	entailment
86	CCOC(=O)C(C)(C)Oc1ccc(C(C)=O)c(F)c1	CCOC(=O)C(C)(C)Oc1ccc(C(=O)OC)c(F)c1	not_entailment
87	CCOC(=O)C(C)(C)Oc1ccc(C(C)=O)c(F)c1	CCOC(=O)C(C)(C)Oc1ccc(OC(C)=O)c(F)c1	entailment
88	CC(=O)c1ccc2ccccc2c1	CC(=O)Oc1ccc2ccccc2c1	entailment
89	CC(=O)c1ccc2ccccc2c1	COC(=O)c1ccc2ccccc2c1	not_entailment
90	O=C1[C@H]2CC[C@H]3CC[C@@H]1[C@H]32	O=C1O[C@@H]2CC[C@@H]3CC[C@H]1[C@@H]32	entailment
91	O=C1[C@H]2CC[C@H]3CC[C@@H]1[C@H]32	O=C1O[C@H]2CC[C@H]3CC[C@@H]1[C@@H]23	not_entailment
92	COc1ccc2c(c1)C(CNC(=O)OC(C)(C)C)CCC2=O	COc1ccc2c(c1)C(CNC(=O)OC(C)(C)C)CCOC2=O	not_entailment
93	COc1ccc2c(c1)C(CNC(=O)OC(C)(C)C)CCC2=O	COc1ccc2c(c1)C(CNC(=O)OC(C)(C)C)CCC(=O)O2	entailment
94	CC(=O)c1ccc(C2CC2)cc1	CC(=O)Oc1ccc(C2CC2)cc1	entailment
95	CC(=O)c1ccc(C2CC2)cc1	COC(=O)c1ccc(C2CC2)cc1	not_entailment
96	COC(=O)[C@H](NC(=O)OCc1ccccc1)[C@@H]1[C@H](C)[C@H]1C(=O)c1ccccc1	COC(=O)[C@H](NC(=O)OCc1ccccc1)[C@@H]1[C@H](C)[C@H]1C(=O)Oc1ccccc1	entailment
97	COC(=O)[C@H](NC(=O)OCc1ccccc1)[C@@H]1[C@H](C)[C@H]1C(=O)c1ccccc1	COC(=O)[C@H](NC(=O)OCc1ccccc1)[C@@H]1[C@H](C)[C@H]1OC(=O)c1ccccc1	not_entailment
98	O=C1C[C@H]2CC[C@@H]1C2	O=C1C[C@H]2CC[C@H](C2)O1	entailment
99	O=C1C[C@H]2CC[C@@H]1C2	O=C1OC[C@H]2CC[C@@H]1C2	not_entailment
100	Cc1ccc(C(=O)C(F)(F)F)cc1	Cc1ccc(C(=O)OC(F)(F)F)cc1	not_entailment
101	Cc1ccc(C(=O)C(F)(F)F)cc1	Cc1ccc(OC(=O)C(F)(F)F)cc1	entailment
102	C[Si](C)(C)OC(c1ccc2c(c1)OCO2)C1(O[Si](C)(C)C)CCC1=O	C[Si](C)(C)OC(c1ccc2c(c1)OCO2)C1(O[Si](C)(C)C)CCOC1=O	not_entailment
103	C[Si](C)(C)OC(c1ccc2c(c1)OCO2)C1(O[Si](C)(C)C)CCC1=O	C[Si](C)(C)OC(c1ccc2c(c1)OCO2)C1(O[Si](C)(C)C)CCC(=O)O1	entailment
104	COC(=O)[C@@H]1C[C@H]2C(=O)C=C[C@H](OC(=O)c3ccc(OC)cc3)[C@H]2N1C(=O)OCc1ccccc1	COC(=O)[C@@H]1C[C@H]2C(=O)OC=C[C@H](OC(=O)c3ccc(OC)cc3)[C@H]2N1C(=O)OCc1ccccc1	entailment
105	COC(=O)[C@@H]1C[C@H]2C(=O)C=C[C@H](OC(=O)c3ccc(OC)cc3)[C@H]2N1C(=O)OCc1ccccc1	COC(=O)[C@@H]1C[C@H]2OC(=O)C=C[C@H](OC(=O)c3ccc(OC)cc3)[C@H]2N1C(=O)OCc1ccccc1	not_entailment
106	CC(=O)CC(C)C	CC(=O)OCC(C)C	entailment
107	CC(=O)CC(C)C	COC(=O)CC(C)C	not_entailment
108	CC1(C)O[C@H]2[C@@H](C1=O)[C@@H]1CN(C(=O)C(F)(F)F)C[C@@H]12	CC1(C)O[C@H]2[C@@H](OC1=O)[C@@H]1CN(C(=O)C(F)(F)F)C[C@@H]12	not_entailment
109	CC1(C)O[C@H]2[C@@H](C1=O)[C@@H]1CN(C(=O)C(F)(F)F)C[C@@H]12	CC1(C)OC(=O)[C@H]2[C@@H]3CN(C(=O)C(F)(F)F)C[C@@H]3[C@H]2O1	entailment
110	CCOC(=O)[C@H](CC(=O)c1ccc(OC)cc1)C[N+](=O)[O-]	CCOC(=O)[C@H](CC(=O)Oc1ccc(OC)cc1)C[N+](=O)[O-]	entailment
111	CCOC(=O)[C@H](CC(=O)c1ccc(OC)cc1)C[N+](=O)[O-]	CCOC(=O)[C@H](COC(=O)c1ccc(OC)cc1)C[N+](=O)[O-]	not_entailment
112	CC1(C)CCC[C@]2(C)C3=C(CC[C@@H]12)[C@@H]1CC(=O)[C@]1(C)CC3	CC1(C)CCC[C@]2(C)C3=C(CC[C@@H]12)[C@@H]1CC(=O)O[C@]1(C)CC3	entailment
113	CC1(C)CCC[C@]2(C)C3=C(CC[C@@H]12)[C@@H]1CC(=O)[C@]1(C)CC3	CC1(C)CCC[C@]2(C)C3=C(CC[C@@H]12)[C@@H]1COC(=O)[C@]1(C)CC3	not_entailment
114	O=C1CC[C@H]1Cc1ccccc1	O=C1CC[C@@H](Cc2ccccc2)O1	entailment
115	O=C1CC[C@H]1Cc1ccccc1	O=C1OCC[C@H]1Cc1ccccc1	not_entailment
116	C[C@]12CC[C@H]3[C@@H](CC[C@@H]4CCCC[C@@]43C)[C@@H]1CCC2=O	C[C@]12CC[C@H]3[C@@H](CC[C@@H]4CCCC[C@@]43C)[C@@H]1CCOC2=O	not_entailment
117	C[C@]12CC[C@H]3[C@@H](CC[C@@H]4CCCC[C@@]43C)[C@@H]1CCC2=O	C[C@]12CC[C@H]3[C@@H](CC[C@@H]4CCCC[C@@]43C)[C@@H]1CCC(=O)O2	entailment
118	CCCC[C@@H]1CCCC(=O)[C@H]1c1ccccc1	CCCC[C@@H]1CCCC(=O)O[C@H]1c1ccccc1	entailment
119	CCCC[C@@H]1CCCC(=O)[C@H]1c1ccccc1	CCCC[C@@H]1CCCOC(=O)[C@H]1c1ccccc1	not_entailment
120	CC1(C)O[C@H]2[C@@H](O1)[C@]1(C)CC(=O)C[C@@]2(C)O1	CC1(C)O[C@H]2[C@@H](O1)[C@]1(C)CC(=O)OC[C@@]2(C)O1	entailment
121	CC1(C)O[C@H]2[C@@H](O1)[C@]1(C)CC(=O)C[C@@]2(C)O1	CC1(C)O[C@H]2[C@@H](O1)[C@]1(C)COC(=O)C[C@@]2(C)O1	not_entailment
122	CC(=O)c1ccc(OCc2ccccc2)cc1OC[C@@H]1CO1	CC(=O)Oc1ccc(OCc2ccccc2)cc1OC[C@@H]1CO1	entailment
123	CC(=O)c1ccc(OCc2ccccc2)cc1OC[C@@H]1CO1	COC(=O)c1ccc(OCc2ccccc2)cc1OC[C@@H]1CO1	not_entailment
124	COc1c([C@H]2C[C@@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@@H](C)O2)ccc2c1C(OC(C)=O)C2=O	COc1c([C@H]2C[C@@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@@H](C)O2)ccc2c1C(OC(C)=O)OC2=O	entailment
125	COc1c([C@H]2C[C@@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@@H](C)O2)ccc2c1C(OC(C)=O)C2=O	COc1c([C@H]2C[C@@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@@H](C)O2)ccc2c1C(OC(C)=O)C(=O)O2	not_entailment
126	CC(C)(C)[Si](C)(C)O[C@@H]1[C@H](O[Si](C)(C)C(C)(C)C)C[C@H]2C(=O)C[C@@H]12	CC(C)(C)[Si](C)(C)O[C@H]1[C@@H]2COC(=O)[C@@H]2C[C@H]1O[Si](C)(C)C(C)(C)C	not_entailment
127	CC(C)(C)[Si](C)(C)O[C@@H]1[C@H](O[Si](C)(C)C(C)(C)C)C[C@H]2C(=O)C[C@@H]12	CC(C)(C)[Si](C)(C)O[C@@H]1[C@H](O[Si](C)(C)C(C)(C)C)C[C@H]2OC(=O)C[C@@H]12	entailment
128	CC(=O)OC1COc2ccccc2C1=O	CC(=O)OC1COc2ccccc2OC1=O	entailment
129	CC(=O)OC1COc2ccccc2C1=O	CC(=O)OC1COc2ccccc2C(=O)O1	not_entailment
130	O=C1Cc2ccccc2C[C@]12OCCC[C@@H]2c1ccccc1	O=C1Cc2ccccc2C[C@]2(OCCC[C@@H]2c2ccccc2)O1	entailment
131	O=C1Cc2ccccc2C[C@]12OCCC[C@@H]2c1ccccc1	O=C1OCc2ccccc2C[C@]12OCCC[C@@H]2c1ccccc1	not_entailment
132	O=C1CCc2ccccc21	O=C1CCc2ccccc2O1	entailment
133	O=C1CCc2ccccc21	O=C1OCCc2ccccc21	not_entailment
134	O=C1[C@H]2CC[C@@H]1[C@@H]1CCC[C@H]21	O=C1O[C@@H]2CC[C@H]1[C@H]1CCC[C@H]12	not_entailment
135	O=C1[C@H]2CC[C@@H]1[C@@H]1CCC[C@H]21	O=C1O[C@H]2CC[C@@H]1[C@@H]1CCC[C@H]21	entailment
136	CCC[C@H]1Cc2ccccc2C1=O	CCC[C@H]1Cc2ccccc2OC1=O	entailment
137	CCC[C@H]1Cc2ccccc2C1=O	CCC[C@H]1Cc2ccccc2C(=O)O1	not_entailment
138	CCCCCCC[C@@H]1C[C@H]1CC(=O)c1ccc(OC)cc1	CCCCCCC[C@@H]1C[C@H]1CC(=O)Oc1ccc(OC)cc1	entailment
139	CCCCCCC[C@@H]1C[C@H]1CC(=O)c1ccc(OC)cc1	CCCCCCC[C@@H]1C[C@H]1COC(=O)c1ccc(OC)cc1	not_entailment
140	CC1(C)CCCC1=O	CC1(C)CCCOC1=O	not_entailment
141	CC1(C)CCCC1=O	CC1(C)CCCC(=O)O1	entailment
142			entailment
143	NCCNC(=O)[C@H](C)n1c(C(=O)c2ccccc2)c2ccccc2[n+]1[O-]	NCCNC(=O)[C@H](C)n1c(C(=O)Oc2ccccc2)c2ccccc2[n+]1[O-]	not_entailment
144			entailment
145	NCCNC(=O)[C@H](C)n1c(C(=O)c2ccccc2)c2ccccc2[n+]1[O-]	NCCNC(=O)[C@H](C)n1c(OC(=O)c2ccccc2)c2ccccc2[n+]1[O-]	entailment
146	CC(=O)C[C@@H](C)C[C@H](C)C[C@H](C)C[C@H](C)CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C	CC(=O)OC[C@@H](C)C[C@H](C)C[C@H](C)C[C@H](C)CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C	entailment
147	CC(=O)C[C@@H](C)C[C@H](C)C[C@H](C)C[C@H](C)CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C	COC(=O)C[C@@H](C)C[C@H](C)C[C@H](C)C[C@H](C)CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C	not_entailment
148	CC(=O)NC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3C(=O)C[C@H]21	CC(=O)NC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3C(=O)OC[C@H]21	not_entailment
149	CC(=O)NC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3C(=O)C[C@H]21	CC(=O)NC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3OC(=O)C[C@H]21	entailment
150	COc1ccc(CC2C(=O)Cc3ccccc32)cc1	COc1ccc(CC2C(=O)OCc3ccccc32)cc1	not_entailment
151	COc1ccc(CC2C(=O)Cc3ccccc32)cc1	COc1ccc(CC2OC(=O)Cc3ccccc32)cc1	entailment
152	COCO[C@@H]1C[C@@]2(CO[Si](C)(C)C(C)(C)C)C[C@@H](C(C)=O)C[C@H]2[C@@H](C(=O)OC)[C@@H]1C	COCO[C@@H]1C[C@@]2(CO[Si](C)(C)C(C)(C)C)C[C@@H](C(=O)OC)C[C@H]2[C@@H](C(=O)OC)[C@@H]1C	not_entailment
153	COCO[C@@H]1C[C@@]2(CO[Si](C)(C)C(C)(C)C)C[C@@H](C(C)=O)C[C@H]2[C@@H](C(=O)OC)[C@@H]1C	COCO[C@@H]1C[C@@]2(CO[Si](C)(C)C(C)(C)C)C[C@@H](OC(C)=O)C[C@H]2[C@@H](C(=O)OC)[C@@H]1C	entailment
154	O=C1CC2CCCC12	O=C1CC2CCCC2O1	entailment
155	O=C1CC2CCCC12	O=C1OCC2CCCC12	not_entailment
156	CCCC[C@@H]1O[C@H](CC(=O)c2ccc(OC)cc2)CN1S(=O)(=O)c1ccc(C)cc1	CCCC[C@@H]1O[C@H](CC(=O)Oc2ccc(OC)cc2)CN1S(=O)(=O)c1ccc(C)cc1	entailment
157	CCCC[C@@H]1O[C@H](CC(=O)c2ccc(OC)cc2)CN1S(=O)(=O)c1ccc(C)cc1	CCCC[C@@H]1O[C@H](COC(=O)c2ccc(OC)cc2)CN1S(=O)(=O)c1ccc(C)cc1	not_entailment
158	C[C@@H]1CC(=O)C[C@H](C)C1	C[C@@H]1CC(=O)OC[C@H](C)C1	entailment
159	C[C@@H]1CC(=O)C[C@H](C)C1	C[C@@H]1COC(=O)C[C@H](C)C1	not_entailment
